S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,2015,2016,2017,2018,2019,2020,2021
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,22314.0,22584.0,22681.0,22768.0,22839.0,22740.0,22585.0
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,3369.0,3423.0,3439.0,3463.0,3476.0,3440.0,3428.0
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10808.0,10925.0,10956.0,10985.0,10999.0,11004.0,11007.0
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,5005.0,5014.0,5023.0,5025.0,5015.0,4980.0,4941.0
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,5818.0,5897.0,6014.0,6171.0,6283.0,6391.0,6518.0
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,15182.0,15383.0,15599.0,15756.0,15902.0,15967.0,15934.0
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,9853.0,10040.0,10098.0,10126.0,10106.0,10026.0,9968.0
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,5409.0,5442.0,5425.0,5397.0,5370.0,5328.0,5260.0
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,15004.0,15637.0,16704.0,17551.0,18381.0,19234.0,20210.0
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,8886.0,9015.0,9091.0,9150.0,9182.0,9162.0,9193.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,11048.0,11424.0,11646.0,11817.0,11994.0,12144.0,12354.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,6963.0,7006.0,6987.0,6966.0,6954.0,6934.0,6900.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,4681.0,4704.0,4744.0,4768.0,4793.0,4815.0,4827.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,10987.0,11001.0,10973.0,10931.0,10889.0,10855.0,10803.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,13339.0,13453.0,13614.0,13800.0,13987.0,14135.0,14333.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,6898.0,6807.0,6725.0,6647.0,6568.0,6502.0,6431.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,9281.0,9300.0,9314.0,9316.0,9311.0,9314.0,9318.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,5520.0,5519.0,5543.0,5580.0,5612.0,5651.0,5694.0
1,New South Wales,1RNSW,Rest of NSW,103,Central West,10358.0,10404.0,10367.0,10314.0,10268.0,10190.0,10087.0
